Nome da ferramenta,País de origem,Preparação da ficha técnica detalhada,Instituição Responsável,Finalidade da Ferramenta,Momento de atividade produtiva,Taxonomia de ferramentas (principal),Canais de acesso à informação,Tipologia dos Canais de Comunicação,Público-alvo principal,Âmbito de aplicação,Modelo de Acesso,Dimensão de interação,Natureza Institucional,Categoria da organização,Idioma de disponibilidade,Integração com o WhatsApp,Conectividade necessária,Nível de digitalização,Nível de abertura da ferramenta,Link,Descrição (resumo)
INIA móvel – EfiCarne,Uruguai,Não,ÍNDIA, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Site + Aplicativo,Meios de comunicação de massa,Produtor,Específico (bovino),Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.inia.uy/index.php/eficarne,Ferramenta online para gestão da alimentação de bovinos em sistemas de pastagem intensiva.
INIA Mobile - FertiRIEGO Horticultura,Uruguai,Não,ÍNDIA,Orientação Técnica,Antes ,"Fertilizantes, inoculantes e nutrientes",Site + Aplicativo,Meios de comunicação de massa,Extensionista,Específico (horticultura),Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.inia.uy/fertiriego-horticultura,Software de apoio à decisão que fornece recomendações de irrigação e aplicação de fertilizantes para o cultivo de tomate em estufa no Uruguai.
INIA móvel - INIA CLIMArroz,Uruguai,Não,ÍNDIA,Aprendizado,Durante,"Meteorologia, Clima e Irrigação",Site + Aplicativo,Meios de comunicação de massa,Extensionista,Específico (arroz),Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.inia.uy/inia-climarroz,Uma ferramenta desenvolvida para técnicos e produtores que facilita o monitoramento climático e a previsão de eventos fenológicos no cultivo de arroz.
INIA Mobile - INIA Log Florestal,Uruguai,Sim,ÍNDIA,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site + Aplicativo,Meios de comunicação de massa,Extensionista,Específico (floral),Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,www.inialog.org.uy,"Uma ferramenta para técnicos, produtores e empresas do setor florestal, que proporciona acesso a informações e produtos tecnológicos para otimizar a gestão dos recursos florestais. Este catálogo digital reúne publicações, metodologias e ferramentas práticas."
INIA Mobile - INIA Termomin,Uruguai,Não,ÍNDIA,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.inia.uy/inia-termomin,"Permite o acesso a uma previsão de até 5 dias das temperaturas mínimas do ar (a dois metros de altura) e no solo, para tomar decisões atempadas que evitem ou minimizem as perdas de produção."
INIA Mobile - CultiDatos_Uy,Uruguai,Não,ÍNDIA,Orientação Técnica,Durante,Sementes e mudas,Painéis de monitoramento (Dashboards),Meios de comunicação de massa,Ambos,"Específico (trigo, azevém, colza, festuca, soja e alfafa).",Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitação,Acessível a terceiros,https://www.inia.uy/index.php/cultidatosuy-aplicacion-de-analisis-y-seleccion-de-cultivares,"Aplicativo web que facilita o acesso e a comparação de informações oficiais sobre cultivares no Uruguai, auxiliando na seleção de materiais de acordo com a situação de produção."
INIA Mobile - CultiDOCTOR_UY,Uruguai,Sim,ÍNDIA,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Site + Aplicativo,Interpessoal,Produtor,"Específicos (trigo, cevada, aveia, triticale, soja e colza)",Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,ttps://www.inia.uy/cultidoctoruy-una-nueva-herramienta-para-identificacion-de-enfermedades-en-cultivos,"Aplicativo que visa fornecer a técnicos e produtores um guia prático que permita a rápida identificação em campo de doenças que afetam culturas de trigo, cevada, triticale, aveia, soja e colza."
INIA Mobile - Termoestresse Bovino,Uruguai,Não,ÍNDIA,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Site + Aplicativo,Meios de comunicação de massa,Produtor,Específico (bovino),Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.inia.uy/inia-termoestres,"Fornecer ao usuário informações baseadas no Índice de Temperatura e Umidade (ITU) reconhecido, para dois sistemas de produção - carne e leite, em condições de produção extensiva ou intensiva."
INIA Mobile – Previsão de estresse térmico em bovinos,Uruguai,Não,ÍNDIA,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Site,Meios de comunicação de massa,Extensionista,Específico (bovino),Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.inia.uy/prevision-de-estres-calorico-en-bovinos-0,"Uma ferramenta que prevê o risco de estresse térmico em bovinos de corte e leiteiros com até sete dias de antecedência, com base no Índice de Temperatura e Umidade (ITU), auxiliando produtores e técnicos na adoção de medidas preventivas para reduzir perdas de bem-estar e produtividade."
Grupos institucionalizados do WhatsApp,Uruguai,Sim,SNIDER,Orientação Técnica,Durante,Consultoria e Assistência Técnica,Grupos de mensagens,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Extensionista,Público,Ministério / Governo Federal,Espanhol,Sim,Sim,Digitalização,Acessível a terceiros,https://www.encuentrorural.uy/,"Os espaços digitais organizados e moderados por organizações dentro do sistema ATER são utilizados para promover a troca de informações técnicas, fornecer suporte produtivo e fortalecer comunidades de prática. Esses grupos podem operar de forma integrada com atividades presenciais, seguir metodologias definidas, ter governança institucional e produção de conteúdo planejada, e buscar ampliar o alcance, a eficiência e a participação nos processos de extensão rural."
Cursos de ensino à distância,Uruguai,Sim,Instituto de Planejamento Agrícola,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa ATER / Serviço Público de Extensão,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.planagropecuario.org.uy/web/oferta-de-cursos-a-distancia.html,"Cursos online estruturados com conteúdo técnico aplicado à produção no mundo real, abrangendo tópicos como manejo de pastagens, alimentação animal e taxas de lotação, gestão de negócios pecuários, indicadores de produção, sustentabilidade e tomada de decisões."
PlanTV,Uruguai,Sim,Instituto de Planejamento Agrícola,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa ATER / Serviço Público de Extensão,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.planagropecuario.org.uy/web/plantv.html,"Uma plataforma digital de conteúdo audiovisual focada na disseminação de informações técnicas, experiências de produção e discussões sobre pecuária e sistemas agrícolas. Por meio de programas semanais e materiais gravados em campo, a PlanTV apoia produtores, técnicos e extensionistas rurais com conteúdo prático sobre gestão, sustentabilidade e inovação em áreas rurais."
Ferramentas digitais,Uruguai,Sim,Instituto de Planejamento Agrícola,Orientação Técnica,Durante,Monitoramento e gerenciamento integrados da produção,Site,Não aplicável,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa ATER / Serviço Público de Extensão,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.planagropecuario.org.uy/web/,"Um conjunto de ferramentas digitais online destinadas a fornecer suporte técnico e auxílio na tomada de decisões na pecuária, especialmente em sistemas baseados em pastagens, incluindo calculadoras de carga e indicadores de desempenho para planejamento da produção e análise do desempenho da fazenda; as ferramentas MEGanE e enPastoreo, voltadas para o manejo de pastagens; a Avaliação Ambiental da Pecuária, destinada a analisar os aspectos ambientais dos sistemas pecuários; a Pasta Verde, utilizada para registro e monitoramento de informações de produção; o visualizador de crescimento de pastagens, que auxilia no monitoramento da forragem; e o Índice de Qualidade da Alimentação Animal (IsPC), um indicador utilizado para avaliar a oferta e a disponibilidade de forragem."
Agrokeep (Grécia),Internacional,Não,Teslinskiy, Gerenciamento,Durante,"Meteorologia, Clima e Irrigação",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Sim,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.agrokeep.Agrokeep,"Aplicativo móvel que permite o acesso a dados meteorológicos sazonais e previsões agronômicas, auxiliando no planejamento de atividades agrícolas. A ferramenta possibilita o monitoramento das condições climáticas, a consulta de previsões, a estimativa da probabilidade de ocorrência, o cálculo do momento mais adequado para a aplicação de defensivos agrícolas e a estimativa de graus-dia e unidades térmicas relacionados ao desenvolvimento de insetos, contribuindo para uma tomada de decisão mais embasada na gestão das atividades."
Ácido – diagnóstico de plantas (Israel),Internacional,Sim,Saillog Ltd,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Inglês,Não,Sim,Transformação Digital,Acessível a terceiros,https://apps.apple.com/us/app/agrio-plant-diagnosis-app/id1239193220;https://play.google.com/store/apps/details?id=com.agrio,"Agrio é uma ferramenta de agricultura de precisão que utiliza inteligência artificial para auxiliar agricultores e técnicos em seu trabalho. Uma de suas soluções permite a identificação e o manejo remoto de doenças e pragas, contribuindo para decisões mais rápidas e adequadas na produção diária. Por meio de algoritmos de inteligência artificial e visão computacional, Agrio auxilia no monitoramento de plantações e no uso mais eficiente de recursos, com foco na melhoria da produtividade e da sustentabilidade dos sistemas de produção."
BayAgri Plus (Alemanha),Internacional,Não,Bayer AG,Aprendizado,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Inglês,Não,Sim,Digitalização,Acessível a terceiros,https://apps.apple.com/us/app/bayagri-plus/id6450846659; https://play.google.com/store/apps/details?id=com.bayer.vegetablesbybayer,"Este aplicativo auxilia na seleção de insumos agrícolas, reunindo informações e experiências compartilhadas por produtores, distribuidores e outros atores do setor. A ferramenta ajuda a considerar diferentes contextos regionais na hora de selecionar os produtos para o seu trabalho."
COMPO EXPERT Crop Companion (Alemanha),Internacional,Não,Especialista em Compo,Orientação Técnica,Antes ,"Fertilizantes, inoculantes e nutrientes",Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Inglês,Não,Sim,Digitalização,Acessível a terceiros,https://apps.apple.com/us/app/compo-expert-crop-companion/id1633269835,"A ferramenta reúne informações técnicas sobre produtos agrícolas e recomendações de uso, ajudando a consultar dados relevantes para o manejo das plantas e a tomar decisões práticas no campo, diretamente do seu celular."
Calculadora de conversão de fertilizantes (Israel),Internacional,Não,Grupo Haifa,Orientação Técnica,Antes ,"Fertilizantes, inoculantes e nutrientes",Site,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Inglês,Não,Sim,Transformação Digital,Acessível a terceiros,https://www.haifa-group.com/fertilizer-conversion-calculator,"Ferramentas para facilitar a conversão entre várias unidades utilizadas na área agrícola: ppm para mmol/l e meq/l, rendimento e taxa de conversão, unidades EC."
LifeGrow (Uganda),Internacional,Não,CTI África Limitada, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Inglês,Não,Sim,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.ctiafrica.lifegrow,"O LifeGrow é um aplicativo desenvolvido para auxiliar agricultores e técnicos no monitoramento das atividades de produção. A ferramenta permite que os usuários registrem informações sobre tarefas, práticas de manejo e dados de campo, contribuindo para a organização das informações e o acompanhamento do desempenho do produto."
Map My Crop (Estados Unidos),Internacional,Não,"Hardcastle Agrotech Solutions Inc.
",Orientação Técnica,Durante,Sensoriamento Remoto,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Inglês,Não,Sim,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.mapmycroplite.mmc,"Uma ferramenta digital focada no monitoramento de atividades agrícolas por meio de imagens de satélite. O aplicativo permite o acompanhamento de aspectos como o desenvolvimento das culturas, as condições gerais de trabalho e as variáveis ​​climáticas, oferecendo suporte remoto ou monitorando as áreas de produção. A ferramenta utiliza dados atualizados para auxiliar agricultores, agrônomos e técnicos na análise e no planejamento das atividades agrícolas."
Plantix (Alemanha),Internacional,Não,PEAT GmbH,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Inglês,Sim,Sim,Digitalização,Acessível a terceiros,"https://plantix.net/en/library/plant-diseases/
https://play.google.com/store/apps/details?id=com.peat.GartenBank&hl=en&utm_content=en&utm_medium=web_library&utm_source=plantix_web&referrer=utm_content%3Den%26utm_medium%3Dweb_library%26utm_source%3Dplantix_web","O site contém fotos e fichas informativas para auxiliar os agricultores no diagnóstico de pragas, doenças e deficiências nutricionais. Também oferecemos um serviço gratuito de diagnóstico de lavouras via WhatsApp."
Vila das Plantas (Estados Unidos),Internacional,Não,Universidade Estadual da Pensilvânia,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Universidade,Inglês,Não,Não,Transformação Digital,Acessível a terceiros,https://apps.apple.com/us/app/plantvillage-nuru/id1441395371; https://play.google.com/store/apps/details?id=plantvillage.nuru,"Um aplicativo de acesso público que utiliza um assistente digital para detectar ou diagnosticar doenças em plantações, mesmo em contextos sem conexão à internet. Desenvolvido na Universidade Estadual da Pensilvânia (Penn State University), essa ferramenta é baseada em técnicas de aprendizado de máquina, utilizando a plataforma TensorFlow do Google e um banco de dados de imagens para identificar sintomas visuais em plantas e subsidiar decisões de manejo agrícola."
SOW - Um Guia de Plantio (Estados Unidos),Internacional,Sim,"Sistema de Extensão Cooperativa do Alabama
",Orientação Técnica,Durante,Consultoria e Assistência Técnica,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Sociedade Civil Organizada,Cooperativa,Inglês,Não,Sim,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=edu.aces.SOW,"O aplicativo que desenvolvemos auxilia no planejamento do plantio em hortas, indicando os períodos de plantio mais adequados com base na localização selecionada. Ao escolher uma cultura, o usuário pode acessar informações adicionais, como o tempo estimado de colheita, a produtividade aproximada da planta e o espaçamento recomendado entre as plantas."
O Consultor de Biocontrole (França),Internacional,Não,Bioline Agrosciences França,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Inglês,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=bioline.app,"O aplicativo Bioline, desenvolvido pela Bioline Agrosciences, foi criado para auxiliar os produtores nas tarefas diárias no campo. A ferramenta reúne informações técnicas sobre as biossoluções da empresa, oferecendo conteúdo de referência focado no esclarecimento de dúvidas operacionais e na gestão agrícola. Materiais essenciais podem ser acessados ​​offline, permitindo que o aplicativo seja utilizado em áreas com conectividade limitada."
Verificação de paisagem sustentável,Argentina,Sim,Ucrop.it,Gerenciamento,Antes ,"Gestão de Documentos, Certificações, Registros e Regularização",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://ucrop.it/es/verificacion-del-paisaje/,"Uma ferramenta geoespacial que avalia os riscos de desmatamento e uso da terra, verificando a conformidade com os padrões internacionais de sustentabilidade. Nota: Ucrop.it - ​​Uma empresa de tecnologia argentina fundada em 2018, especializada em sustentabilidade agrícola e rastreabilidade utilizando tecnologia blockchain, com operações internacionais e acesso gratuito para produtores."
Rastreabilidade do produto,Argentina,Sim,Ucrop.it,Comercialização,Depois,"Segurança alimentar, rastreabilidade e narrativa do produto",Aplicativo,Não aplicável,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,Trazabilidad – ucrop.it,"Uma solução que permite a comunicação da origem e das práticas sustentáveis ​​de produtos agrícolas ao longo de toda a cadeia de suprimentos, utilizando relatórios digitais e códigos QR. Nota: Ucrop.it - ​​Uma empresa de tecnologia argentina fundada em 2018, especializada em sustentabilidade e rastreabilidade agrícola utilizando tecnologia blockchain, com atuação internacional e acesso gratuito para produtores."
Solução de extensão,Argentina,Sim,Solidariedade,Orientação Técnica,Antes ,"Gestão institucional do registo, monitorização e cadastro do ATER",Aplicativo ,Meios de comunicação de massa,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Privado,Organização Internacional,Multilíngue,Não,Não,Digitalização,Acessível a terceiros, https://solidaridadlatam.org/brasil/extension-solution/,"A ferramenta permite o cadastro de produtores, o acompanhamento de visitas técnicas, a coleta estruturada de dados em campo, o monitoramento de indicadores produtivos e socioambientais e a gestão de ações ATER."
Solução para Agricultura,Argentina,Sim,Solidariedade, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo ,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Organização Internacional,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,https://solidaridadlatam.org/brasil/farming-solution/,"A ferramenta, destinada aos produtores, permite o cadastro e monitoramento de unidades produtivas, a coleta de dados produtivos e socioambientais, o acompanhamento das práticas agrícolas, o controle de indicadores de sustentabilidade e o apoio à tomada de decisões na propriedade rural, contribuindo para a melhoria da produtividade, rastreabilidade e desempenho socioambiental das cadeias agrícolas."
Aprendizagem agrícola,Argentina,Sim,Solidariedade,Aprendizado,Antes ,"Conteúdo, Educação e Redes Sociais",Plataformas de e-learning,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Organização Internacional,Multilíngue,Não,Sim,Digitalização,Acessível a terceiros,https://solidaridadlatam.org/brasil/servicos/#solucoes-educativas,"Aplicativo que permite o acesso a cursos e ferramentas voltados para o aprimoramento das práticas agronômicas e o desenvolvimento de habilidades financeiras, digitais e sociais."
"Sistema Integrado de Monitoramento Agrícola

- SIMA",Argentina,Sim,ABISMO,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicação; Painéis de Monitoramento (Dashboards),Meios de comunicação de massa,Produtor,Em geral,Pagar,Extensionista ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://sima.ag/pt,"Um sistema de agricultura inteligente que permite realizar monitoramento georreferenciado do campo, analisar informações e gerar ordens de serviço."
Cursos online da CABI Academy,Bolívia,Sim,CABI,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Plataformas de e-learning,Meios de comunicação de massa,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Organização Internacional,Organização Internacional,Multilíngue,Não,Sim,Digitalização,Acessível a terceiros,https://academy.cabi.org/,"Cursos e recursos online gratuitos estão disponíveis para usuários na Bolívia. Eles podem ser acessados ​​online ou baixados através do aplicativo genérico Moodle Mobile, oferecendo orientações especializadas tanto para agentes de extensão rural quanto para agricultores."
Fichas informativas do PlantwisePlus,Bolívia,Sim,CABI,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Aplicativo ,Interpessoal,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Organização Internacional,Organização Internacional,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=org.cabi.pfff&utm_source=flyer_fs&utm_medium=link&utm_campaign=pwp_tools&utm_term=factsheets_awareness&utm_content=gen,"Um aplicativo móvel gratuito para Android e iOS que fornece informações específicas de cada país para auxiliar no diagnóstico e manejo seguro de pragas e doenças em plantações. Pode ser usado offline, o que é especialmente útil para trabalhos de campo em áreas remotas com conectividade limitada."
Otimizador de Fertilizantes,Bolívia,Sim,CABI,Orientação Técnica,Antes ,"Fertilizantes, inoculantes e nutrientes",Aplicativo ,Interpessoal,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Organização Internacional,Organização Internacional,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=org.cabi.ofra,"Aplicativo móvel que auxilia agricultores e agentes de extensão rural na definição de recomendações otimizadas de fertilizantes, ajustadas à cultura, ao orçamento disponível e às condições locais, com o objetivo de maximizar o retorno econômico e a eficiência no uso de insumos."
Pulverizador de plantações,Bolívia,Sim,CABI,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo ,Interpessoal,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Organização Internacional,Organização Internacional,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.cabi.cabi_dosage_calc_android,"Aplicativo móvel que auxilia agricultores e técnicos no cálculo correto das dosagens de pesticidas, convertendo recomendações técnicas em quantidades precisas de acordo com o produto, a cultura, a área tratada e o equipamento de aplicação, promovendo o uso seguro e eficiente dos insumos."
Campo E,Brasil,Sim,Embrapa,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Plataformas de e-learning,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Multilíngue,Não,Sim,Digitalização,Acessível a terceiros,https://e-campo.sede.embrapa.br/,"Uma plataforma digital de treinamento online que oferece conteúdo técnico, cursos e serviços para apoiar produtores, técnicos e extensionistas na tomada de decisões e no treinamento em agricultura e pecuária."
Bate-papo do fazendeiro,Internacional,Sim,Verde Digital,Orientação Técnica,Durante,Consultoria e Assistência Técnica,Aplicativo,Interpessoal,Extensionista,Em geral,Pagar,Produtor ↔ Extensionista,Privado,Comece,Multilíngue,Sim,Sim,Transformação Digital,Acessível a terceiros,https://digitalgreen.org/farmer-chat/,"O aplicativo oferece assistência técnica digital para agricultores, permitindo consultas por texto, áudio ou imagens, com suporte em idiomas locais. Ele utiliza inteligência artificial para diagnosticar problemas nas plantações e envia alertas oportunos sobre clima, pragas e preços de mercado, auxiliando nas decisões de produção."
Paddy,Internacional,Sim,Desenvolvimento de Precisão (PxD),Orientação Técnica,Durante,Consultoria e Assistência Técnica,Aplicativo,Interpessoal,Extensionista,Em geral,Pagar,Produtor ↔ Extensionista,Privado,Comece,Multilíngue,Sim,Não,Transformação Digital,Acessível a terceiros,https://precisiondev.org/about-us/technology/,"Uma plataforma de comunicação digital multicanal que permite aos usuários enviar e receber mensagens via SMS, chamadas de voz, WhatsApp e outros aplicativos de mensagens, alcançando usuários com diferentes níveis de conectividade e alfabetização digital. Ela também oferece conteúdo personalizado com recomendações adaptadas ao perfil do usuário."
Plantix,Internacional,Sim,Plantix,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicativo,Interpessoal,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://plantix.net/en/,"Utiliza reconhecimento de imagem com inteligência artificial para diagnosticar pragas, doenças e deficiências nutricionais a partir da foto de uma planta doente."
Yara CheckIT,Internacional,Não,Yara,Orientação Técnica,Durante,"Fertilizantes, inoculantes e nutrientes",Aplicativo,Interpessoal,Produtor,"Específicos (batatas, trigo, cevada, milho, feijão, colza)",Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Sim,Digitalização,Acessível a terceiros,https://platform.nutri-checknet.eu/available_products_and_tools/104/yara-checkit,"Um aplicativo agrícola que fornece aos agricultores um banco de fotos de plantações, permitindo a identificação simples e rápida de possíveis deficiências nutricionais."
Controle de Gado,Internacional,Não,Controle de Gado,Orientação Técnica,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo,Interpessoal,Produtor,Específico (bovino),Freemium,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://www.controlganadero.app/,"Aplicativo de gestão pecuária que permite aos produtores acompanhar todo o ciclo de vida do seu rebanho, incluindo registros dos animais, produção (carne e leite), tratamentos de saúde, nascimentos e vendas."
Aplicativo de vacinação,Internacional,Não,Aplicativo de vacinação, Gerenciamento,Antes ,Nutrição e Saúde Animal,Aplicativo,Interpessoal,Produtor,Específico (bovino),Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,https://vacapp.net/es/#overview,"Aplicativo de gestão desenvolvido especificamente para a criação extensiva de animais (gado bovino, equino, ovino e caprino)."
AGvisorPRO,Internacional,Não,AGvisorPRO,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Extensionista,Privado,Setor Privado,Multilíngue,Sim,Sim,Digitalização,Acessível a terceiros,https://getagvisorpro.com/about-agvisorpro-answers-now/#popup-menu-anchor,É uma plataforma global que conecta produtores rurais a especialistas agrícolas para esclarecer dúvidas e encontrar soluções em tempo real.
Gravatas,Internacional,Não,FAO,Comunicação,Durante,"Conteúdo, Educação e Redes Sociais",Aplicativo,Meios de comunicação de massa,Produtor,Específico (algodão),Gratuito,Produtor ↔ Produtor,Organização Internacional,Organização Internacional,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=org.csslazos.lazos; https://apps.apple.com/br/app/lazos-con%C3%A9ctate-rural/id1659671550,"Uma rede social que conecta o setor algodoeiro — produtores, organizações rurais, instituições, empresas, academia, estabelecimentos de ensino e outros. O aplicativo compartilha notícias, eventos e outros conteúdos, e apresenta comunidades virtuais organizadas em torno de tópicos específicos (algodão agroecológico, segurança alimentar, certificação de algodão, mercados, sementes, etc.)."
Acesso à Agricultura (Bélgica),Internacional,Não,Acesso à Agricultura,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site + Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Sociedade Civil Organizada,ONG / OSC,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,https://www.accessagriculture.org/our-mission,"Construir uma plataforma de vídeo de acesso aberto que contenha o maior acervo mundial de vídeos de treinamento multilíngues e com qualidade de transmissão sobre princípios agroecológicos e empreendedorismo rural, combinando conhecimento científico e indígena."
